物件名,住所,アクセス,築年数,階数,家賃,管理費,間取り,広さ
東急世田谷線 西太子堂駅 5階建 築3年,東京都世田谷区代沢４,東急世田谷線/西太子堂駅 歩9分 東急田園都市線/三軒茶屋駅 歩12分 小田急線/世田谷代田駅 歩18分,築3年,4階,17.3万円,10000円,2LDK,54.52m2
パークアビタシオン麻布十番,東京都港区東麻布３,都営大江戸線/麻布十番駅 歩2分 東京メトロ日比谷線/六本木駅 歩12分 東京メトロ南北線/六本木一丁目駅 歩12分,築9年,13階,33万円,15000円,2LDK,57.67m2
マンションかねき,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩6分 都営三田線/千石駅 歩13分 東京メトロ丸ノ内線/新大塚駅 歩17分,築45年,5階,9.8万円,5000円,1DK,28m2
東京メトロ丸ノ内線 茗荷谷駅 7階建 築45年,東京都文京区小石川５,東京メトロ丸ノ内線/茗荷谷駅 歩6分 都営三田線/千石駅 歩13分 東京メトロ丸ノ内線/新大塚駅 歩17分,築45年,5階,9.8万円,5000円,1DK,28m2
クロスレジデンス白金高輪,東京都港区白金２,都営三田線/白金高輪駅 歩3分 東京メトロ南北線/白金台駅 歩12分 都営浅草線/泉岳寺駅 歩15分,築19年,8階,16.8万円,12000円,1LDK,40.26m2
東京メトロ東西線 神楽坂駅 6階建 新築,東京都新宿区赤城下町,東京メトロ東西線/神楽坂駅 歩5分 東京メトロ有楽町線/江戸川橋駅 歩6分 都営大江戸線/牛込神楽坂駅 歩13分,新築,2階,23.3万円,15000円,2DK,53.33m2
ウェンブリー表参道,東京都港区南青山５,東京メトロ銀座線/表参道駅 歩2分 ＪＲ山手線/渋谷駅 歩14分 東京メトロ千代田線/明治神宮前駅 歩14分,築8年,15階,47.9万円,0円,2LDK,70.57m2
東京メトロ丸ノ内線 四谷三丁目駅 5階建 築10年,東京都新宿区四谷４,東京メトロ丸ノ内線/四谷三丁目駅 歩5分 都営新宿線/曙橋駅 歩12分 ＪＲ中央線/信濃町駅 歩16分,築10年,2階,12.9万円,10000円,1LDK,30.08m2
カーサスプレンディッド恵比寿1丁目アネックス,東京都渋谷区恵比寿１,ＪＲ山手線/恵比寿駅 歩8分 東京メトロ日比谷線/広尾駅 歩11分 東急東横線/代官山駅 歩19分,築4年,2階,24万円,20000円,1LDK,39.17m2
ＴＥＮＡＳ千歳船橋（テナスチトセフナバシ）,東京都世田谷区船橋３,小田急線/千歳船橋駅 歩8分 小田急線/経堂駅 歩16分 東急世田谷線/松原駅 歩26分,新築,2階,21.5万円,10000円,2LDK,52.29m2
コートヒルズ高輪,東京都港区高輪１,都営三田線/白金高輪駅 歩7分 都営浅草線/泉岳寺駅 歩11分 ＪＲ山手線/高輪ゲートウェイ駅 歩15分,築21年,3階,21.7万円,8000円,1LDK,53.73m2
グランレイム目黒,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩3分 東急東横線/学芸大学駅 歩16分 東急目黒線/西小山駅 歩15分,築35年,3階,15万円,8000円,1LDK,35.5m2
ラメゾンドクガハラ,東京都大田区久が原４,東急池上線/久が原駅 歩8分 東急池上線/千鳥町駅 歩11分 東急多摩川線/下丸子駅 歩17分,築28年,3階,13.7万円,5000円,2LDK,45.4m2
パークアビタシオン麻布十番,東京都港区東麻布３,都営大江戸線/麻布十番駅 歩2分 東京メトロ日比谷線/六本木駅 歩12分 東京メトロ南北線/六本木一丁目駅 歩12分,築9年,13階,33万円,15000円,2LDK,57.67m2
クロスレジデンス白金高輪,東京都港区白金２,都営三田線/白金高輪駅 歩3分 東京メトロ南北線/白金台駅 歩12分 都営浅草線/泉岳寺駅 歩15分,築19年,8階,16.8万円,12000円,1LDK,40.26m2
ウェンブリー表参道,東京都港区南青山５,東京メトロ銀座線/表参道駅 歩2分 ＪＲ山手線/渋谷駅 歩14分 東京メトロ千代田線/明治神宮前駅 歩14分,築8年,15階,47.9万円,0円,2LDK,70.57m2
ＴＥＮＡＳ千歳船橋（テナスチトセフナバシ）,東京都世田谷区船橋３,小田急線/千歳船橋駅 歩8分 小田急線/経堂駅 歩16分 東急世田谷線/松原駅 歩26分,新築,2階,21.5万円,10000円,2LDK,52.29m2
シーズンフラッツ高田馬場リバーサイドサウス,東京都新宿区高田馬場３,西武新宿線/下落合駅 歩7分 ＪＲ山手線/高田馬場駅 歩13分 都営大江戸線/中井駅 歩13分,築2年,4階,13.4万円,10000円,1LDK,30.31m2
都営大江戸線 牛込柳町駅 4階建 築24年,東京都新宿区弁天町,都営大江戸線/牛込柳町駅 歩4分 東京メトロ東西線/早稲田駅 歩9分 都営新宿線/曙橋駅 歩16分,築24年,1階,13.9万円,7000円,2DK,40.32m2
ライオンズマンション西荻第2,東京都杉並区西荻北２,ＪＲ中央線/西荻窪駅 歩6分 ＪＲ中央線/荻窪駅 歩23分 西武新宿線/上石神井駅 バス16分 (バス停)西荻窪駅 歩6分,築54年,3階,14万円,0円,3DK,48.62m2
東急東横線 渋谷駅 地下1地上14階建 築4年,東京都渋谷区宇田川町,東急東横線/渋谷駅 歩6分 京王井の頭線/神泉駅 歩13分 ＪＲ山手線/原宿駅 歩14分,築4年,7階,18.2万円,0円,1DK,31.22m2
ザ・パークハウスアーバンス渋谷,東京都渋谷区宇田川町,東急東横線/渋谷駅 歩6分 京王井の頭線/神泉駅 歩13分 ＪＲ山手線/原宿駅 歩14分,築4年,7階,18.2万円,0円,1DK,31.22m2
コートヒルズ高輪,東京都港区高輪１,都営三田線/白金高輪駅 歩7分 都営浅草線/泉岳寺駅 歩11分 ＪＲ山手線/高輪ゲートウェイ駅 歩15分,築21年,3階,21.7万円,8000円,1LDK,53.73m2
京王新線 初台駅 7階建 新築,東京都渋谷区初台２,京王新線/初台駅 歩10分 小田急線/代々木八幡駅 歩11分 小田急線/参宮橋駅 歩14分,新築,2階,18.6万円,10000円,1LDK,34.05m2
ルーブル大森山王弐番館,東京都大田区山王３,ＪＲ京浜東北線/大森駅 歩7分 京急本線/大森海岸駅 歩15分 都営浅草線/西馬込駅 歩27分,築12年,5階,16.5万円,15000円,2DK,41.16m2
グリーンコート松庵,東京都杉並区松庵１,京王井の頭線/三鷹台駅 歩7分 ＪＲ中央線/吉祥寺駅 歩17分 ＪＲ総武線/西荻窪駅 歩18分,築32年,1階,9.9万円,1000円,2DK,40.5m2
元麻布レジデンス,東京都港区元麻布３,東京メトロ南北線/麻布十番駅 歩5分 東京メトロ日比谷線/六本木駅 歩13分 東京メトロ日比谷線/広尾駅 歩14分,築6年,1階,26.8万円,12000円,1LDK,54.77m2
ウェルスクエア用賀,東京都世田谷区用賀２,東急田園都市線/用賀駅 歩3分 東急田園都市線/桜新町駅 歩15分 東急大井町線/上野毛駅 歩21分,新築,2階,12.4万円,7000円,1LDK,27.18m2
クレヴィスタ品川西大井II,東京都品川区二葉３,ＪＲ横須賀線/西大井駅 歩3分 東急大井町線/大井町駅 歩20分 都営浅草線/中延駅 歩12分,築2年,6階,8.9万円,15000円,1K,20.5m2
プラウドフラット白金高輪,東京都港区三田５,東京メトロ南北線/白金高輪駅 歩5分 ＪＲ山手線/田町駅 歩14分 都営浅草線/泉岳寺駅 歩11分,築16年,14階,25.3万円,10000円,1LDK,50.14m2
ガーデン杉並方南,東京都杉並区方南１,京王線/笹塚駅 歩8分 東京メトロ丸ノ内線/方南町駅 歩16分 京王線/代田橋駅 歩18分,築23年,1階,14.5万円,8000円,1LDK,43.43m2
ミュール白金,東京都港区白金１,都営三田線/白金高輪駅 歩2分 都営浅草線/泉岳寺駅 歩13分 東京メトロ南北線/麻布十番駅 歩14分,築7年,4階,18.8万円,10000円,1LDK,39.06m2
レジデンスマツモト,東京都墨田区文花２,東武亀戸線/小村井駅 歩4分 ＪＲ総武線/亀戸駅 歩15分 東武伊勢崎線/曳舟駅 歩20分,築47年,3階,7.9万円,3000円,2K,30m2
ソリッド・リファイン八広,東京都墨田区八広４,京成押上線/押上駅 歩10分  ,築37年,3階,8.7万円,5000円,2K,38.68m2
エクセル米喜（池上）,東京都大田区池上７,東急池上線/池上駅 歩5分 東急多摩川線/武蔵新田駅 歩14分 東急池上線/千鳥町駅 歩14分,築30年,1階,15.7万円,5000円,2LDK,53.52m2
アジールコート池上,東京都大田区西蒲田２,東急池上線/池上駅 歩7分 ＪＲ京浜東北線/蒲田駅 歩18分 東急多摩川線/矢口渡駅 歩22分,築6年,5階,16.3万円,12000円,1LDK,41.09m2
クインズコート新宿,東京都新宿区新宿１,東京メトロ丸ノ内線/新宿御苑前駅 歩6分 東京メトロ副都心線/新宿三丁目駅 歩11分 都営新宿線/曙橋駅 歩11分,築35年,7階,26万円,0円,3LDK,67.05m2
都営新宿線 曙橋駅 10階建 新築,東京都新宿区市谷台町,都営新宿線/曙橋駅 歩3分 東京メトロ丸ノ内線/四谷三丁目駅 歩9分 ,新築,2階,19.3万円,10000円,1LDK,36.6m2
フォーシーズン,東京都大田区南馬込５,都営浅草線/西馬込駅 歩4分 都営浅草線/馬込駅 歩13分 東急大井町線/荏原町駅 歩22分,築5年,1階,12.7万円,3500円,1LDK,43.9m2
WELL House 東大井B,東京都品川区東大井６,ＪＲ京浜東北線/大井町駅 歩12分 京急本線/立会川駅 歩7分 京急本線/鮫洲駅 歩14分,築18年,1階,12.5万円,5000円,1DK,32.43m2
ＪＲ京浜東北線 大井町駅 3階建 築18年,東京都品川区東大井６,ＪＲ京浜東北線/大井町駅 歩12分 京急本線/立会川駅 歩7分 京急本線/鮫洲駅 歩14分,築18年,1階,12.5万円,5000円,1DK,32.43m2
東京メトロ日比谷線 広尾駅 10階建 築4年,東京都渋谷区恵比寿１,東京メトロ日比谷線/広尾駅 歩11分 ＪＲ山手線/恵比寿駅 歩8分 東急東横線/代官山駅 歩20分,築4年,2階,24万円,20000円,1LDK,39.17m2
クインズコート新宿,東京都新宿区新宿１,東京メトロ丸ノ内線/新宿御苑前駅 歩6分 東京メトロ副都心線/新宿三丁目駅 歩11分 都営新宿線/曙橋駅 歩11分,築35年,7階,26万円,0円,3LDK,67.05m2
都営新宿線 曙橋駅 10階建 新築,東京都新宿区市谷台町,都営新宿線/曙橋駅 歩3分 東京メトロ丸ノ内線/四谷三丁目駅 歩9分 ,新築,2階,19.3万円,10000円,1LDK,36.6m2
東京メトロ日比谷線 広尾駅 10階建 築4年,東京都渋谷区恵比寿１,東京メトロ日比谷線/広尾駅 歩11分 ＪＲ山手線/恵比寿駅 歩8分 東急東横線/代官山駅 歩20分,築4年,2階,24万円,20000円,1LDK,39.17m2
東京メトロ有楽町線 江戸川橋駅 11階建 築16年,東京都新宿区山吹町,東京メトロ有楽町線/江戸川橋駅 歩3分 東京メトロ東西線/神楽坂駅 歩8分 都営大江戸線/牛込神楽坂駅 歩15分,築16年,9階,18.2万円,8000円,1LDK,38.61m2
ブライズ品川南,東京都品川区南大井４,京急本線/立会川駅 歩8分 ＪＲ京浜東北線/大森駅 歩14分 ＪＲ京浜東北線/大井町駅 歩15分,築17年,2階,7.1万円,10000円,1K,20.13m2
京急本線 立会川駅 6階建 築17年,東京都品川区南大井４,京急本線/立会川駅 歩8分 ＪＲ京浜東北線/大森駅 歩14分 ＪＲ京浜東北線/大井町駅 歩15分,築17年,2階,7.1万円,10000円,1K,20.13m2
東急東横線 都立大学駅 5階建 築53年,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩4分 東急目黒線/洗足駅 バス9分 (バス停)日丘橋 歩9分 東急東横線/自由が丘駅 歩21分,築53年,4階,10万円,3000円,1LDK,40.8m2
ティンバー小林,東京都目黒区目黒本町４,東急目黒線/武蔵小山駅 歩10分 東急目黒線/西小山駅 歩13分 東急東横線/学芸大学駅 歩21分,築36年,4階,12.7万円,6000円,2DK,43.5m2
東急目黒線 武蔵小山駅 6階建 築36年,東京都目黒区目黒本町４,東急目黒線/武蔵小山駅 歩10分 東急目黒線/西小山駅 歩13分 東急東横線/学芸大学駅 歩21分,築36年,4階,12.7万円,6000円,2DK,43.5m2
北新宿コーポ,東京都新宿区北新宿２,ＪＲ中央線/大久保駅 歩8分 東京メトロ丸ノ内線/西新宿駅 歩10分 ＪＲ山手線/新大久保駅 歩13分,築44年,3階,13.5万円,0円,2LDK,42m2
ガラ・シティ笹塚,東京都渋谷区笹塚２,京王線/笹塚駅 歩4分 東京メトロ丸ノ内線/方南町駅 歩22分 小田急線/東北沢駅 歩21分,築26年,12階,11.6万円,8000円,2K,35.5m2
ネオ・パーシモン,東京都世田谷区中町１,東急大井町線/等々力駅 歩7分 東急大井町線/上野毛駅 歩11分 東急田園都市線/二子玉川駅 歩27分,築16年,1階,11.5万円,5000円,1LDK,46.5m2
スリースター六郷,東京都大田区西六郷４,京急本線/六郷土手駅 歩6分 京急大師線/港町駅 歩20分 ＪＲ京浜東北線/蒲田駅 バス18分 (バス停)高畑神社 歩2分,築32年,2階,11.5万円,6500円,1SLDK,59.43m2
フェニックス荻窪弐番館,東京都杉並区天沼３,ＪＲ中央線/荻窪駅 歩9分 西武新宿線/鷺ノ宮駅 バス9分 (バス停)ウェルファーム杉並 歩1分 ＪＲ中央線/阿佐ケ谷駅 歩26分,築25年,6階,10.3万円,12000円,1LDK,34.7m2
ミント,東京都大田区鵜の木２,東急多摩川線/鵜の木駅 歩6分 東急多摩川線/下丸子駅 歩8分 東急池上線/久が原駅 歩16分,築37年,1階,12万円,3000円,2DK,40.78m2
ソリッド大橋,東京都目黒区大橋２,東急田園都市線/池尻大橋駅 歩5分 ＪＲ山手線/渋谷駅 歩19分 京王井の頭線/駒場東大前駅 歩12分,築18年,14階,13万円,7000円,ワンルーム,31.59m2
シェモア東,東京都新宿区納戸町,都営大江戸線/牛込神楽坂駅 歩6分 ＪＲ中央線/市ケ谷駅 歩11分 東京メトロ有楽町線/飯田橋駅 歩13分,築9年,3階,17.3万円,3000円,1LDK,43.93m2
青葉ハイツ,東京都大田区久が原４,東急池上線/久が原駅 歩9分 東急池上線/御嶽山駅 歩15分 ＪＲ京浜東北線/蒲田駅 バス19分 (バス停)久が原出世観音 歩5分,築12年,1階,10.3万円,0円,1LDK,35.47m2
ルーブル下井草弐番館,東京都杉並区下井草３,西武新宿線/下井草駅 歩9分 ＪＲ中央線/荻窪駅 歩19分 西武新宿線/鷺ノ宮駅 歩21分,築17年,2階,8.5万円,12000円,2K,30.25m2
エステムプラザ品川西小山,東京都品川区小山６,東急目黒線/西小山駅 歩2分 東急目黒線/武蔵小山駅 歩11分 東急大井町線/北千束駅 歩16分,築5年,3階,9.9万円,10540円,1K,21.53m2
Blance Beaute KOMAZAWADAIGAKU,東京都世田谷区上馬４,東急田園都市線/駒沢大学駅 歩6分 東急世田谷線/若林駅 歩15分 東急田園都市線/三軒茶屋駅 歩20分,築4年,3階,15.2万円,15000円,1LDK,32.37m2
日神デュオステージ高円寺,東京都杉並区高円寺北２,ＪＲ総武線/高円寺駅 歩7分 ＪＲ中央線/中野駅 歩22分 東京メトロ丸ノ内線/新高円寺駅 歩19分,築18年,2階,10.7万円,15000円,1DK,30.24m2
日興パレス東山,東京都目黒区東山２,東急田園都市線/池尻大橋駅 歩8分 東急東横線/中目黒駅 歩12分 東急東横線/代官山駅 歩16分,築39年,5階,8.6万円,5000円,2K,23.4m2
ミリアレジデンス早稲田山吹町,東京都新宿区山吹町,東京メトロ有楽町線/江戸川橋駅 歩6分 東京メトロ東西線/早稲田駅 歩13分 東京メトロ東西線/神楽坂駅 歩13分,築7年,B1階,18万円,10000円,2DK,46.08m2
コンフォリア田町,東京都港区芝浦４,ＪＲ山手線/田町駅 歩9分 都営三田線/三田駅 歩11分 都営浅草線/泉岳寺駅 歩15分,築19年,3階,18.7万円,10000円,1LDK,44.14m2
西山第2ビル,東京都杉並区下井草５,西武新宿線/井荻駅 歩1分 西武新宿線/下井草駅 歩12分 ＪＲ中央線/荻窪駅 バス15分 (バス停)井荻駅 歩3分,築35年,3階,9万円,0円,3DK,47.62m2
グランドメゾン神楽坂,東京都新宿区天神町,東京メトロ東西線/神楽坂駅 歩4分 東京メトロ有楽町線/江戸川橋駅 歩9分 都営大江戸線/牛込神楽坂駅 歩12分,築12年,10階,24万円,0円,1LDK,41.96m2
ガリシアヒルズ西麻布ＥＡＳＴ,東京都港区西麻布２,東京メトロ千代田線/乃木坂駅 歩10分 東京メトロ日比谷線/六本木駅 歩10分 東京メトロ日比谷線/広尾駅 歩11分,築18年,3階,10.8万円,12000円,1K,26.19m2
パークマンション,東京都目黒区東が丘２,東急田園都市線/駒沢大学駅 歩8分 東急田園都市線/三軒茶屋駅 歩24分 東急東横線/都立大学駅 歩27分,築56年,2階,10万円,0円,1LDK,41.3m2
東急田園都市線 駒沢大学駅 3階建 築56年,東京都目黒区東が丘２,東急田園都市線/駒沢大学駅 歩8分 東急田園都市線/三軒茶屋駅 歩24分 東急東横線/都立大学駅 歩27分,築56年,2階,10万円,0円,1LDK,41.3m2
コンフォリア田町,東京都港区芝浦４,ＪＲ山手線/田町駅 歩9分 都営三田線/三田駅 歩11分 都営浅草線/泉岳寺駅 歩15分,築19年,3階,18.7万円,10000円,1LDK,44.14m2
ガリシアヒルズ西麻布ＥＡＳＴ,東京都港区西麻布２,東京メトロ千代田線/乃木坂駅 歩10分 東京メトロ日比谷線/六本木駅 歩10分 東京メトロ日比谷線/広尾駅 歩11分,築18年,3階,10.8万円,12000円,1K,26.19m2
京王井の頭線 神泉駅 13階建 新築,東京都渋谷区松濤２,京王井の頭線/神泉駅 歩9分 京王井の頭線/駒場東大前駅 歩12分 東京メトロ半蔵門線/渋谷駅 歩14分,新築,5階,24.8万円,10000円,1LDK,39.82m2
